"","subj","order","cond","item","questionRT","questionAcc","region","Xstart","Xend","Ystart","Yend","fixationtype","value","words","wordsLen","logValue","type","reg.name","lure.type","lure.match","cond.code"
"78308",8,81,2,3,3471,1,"7",109,116,0,0,"tt",347," office",7,5.84932477994686,"refl","prefinal","np","mismatch","np_mismatch"
"78309",8,81,2,3,3471,1,"7",109,116,0,0,"rr",NA," office",7,NA,"refl","prefinal","np","mismatch","np_mismatch"
"78311",8,81,2,3,3471,1,"8",116,125,0,0,"ff",315," meeting.",9,5.75257263882563,"refl","final","np","mismatch","np_mismatch"
"78318",8,81,2,3,3471,1,"8",116,125,0,0,"tt",315," meeting.",9,5.75257263882563,"refl","final","np","mismatch","np_mismatch"
"78319",8,81,2,3,3471,1,"8",116,125,0,0,"rr",NA," meeting.",9,NA,"refl","final","np","mismatch","np_mismatch"
"78321",8,277,3,8,3403,1,"1",0,17,0,0,"ff",505,"No pious nobleman",17,6.22455842927536,"refl","lure","qp","match","qp_match"
"78328",8,277,3,8,3403,1,"1",0,17,0,0,"tt",1933,"No pious nobleman",17,7.56682847920833,"refl","lure","qp","match","qp_match"
"78329",8,277,3,8,3403,1,"1",0,17,0,0,"rr",292,"No pious nobleman",17,5.67675380226828,"refl","lure","qp","match","qp_match"
"78331",8,277,3,8,3403,1,"2",17,36,0,0,"ff",396," would believe that",19,5.98141421125448,"refl","matrix.pred","qp","match","qp_match"
"78338",8,277,3,8,3403,1,"2",17,36,0,0,"tt",1487," would believe that",19,7.30451594646016,"refl","matrix.pred","qp","match","qp_match"
"78339",8,277,3,8,3403,1,"2",17,36,0,0,"rr",1091," would believe that",19,6.99484998583307,"refl","matrix.pred","qp","match","qp_match"
"78341",8,277,3,8,3403,1,"3",36,48,0,0,"ff",296," devout nuns",12,5.69035945432406,"refl","target","qp","match","qp_match"
"78348",8,277,3,8,3403,1,"3",36,48,0,0,"tt",1464," devout nuns",12,7.28892769452126,"refl","target","qp","match","qp_match"
"78349",8,277,3,8,3403,1,"3",36,48,0,0,"rr",1168," devout nuns",12,7.06304816338817,"refl","target","qp","match","qp_match"
"78351",8,277,3,8,3403,1,"4",48,59,0,0,"ff",267," would forg",11,5.58724865840025,"refl","precrit","qp","match","qp_match"
"78358",8,277,3,8,3403,1,"4",48,59,0,0,"tt",553," would forg",11,6.31535800152233,"refl","precrit","qp","match","qp_match"
"78359",8,277,3,8,3403,1,"4",48,59,0,0,"rr",NA," would forg",11,NA,"refl","precrit","qp","match","qp_match"
"78361",8,277,3,8,3403,1,"5",59,70,0,0,"ff",263,"ive himself",11,5.57215403217776,"refl","crit","qp","match","qp_match"
"78368",8,277,3,8,3403,1,"5",59,70,0,0,"tt",263,"ive himself",11,5.57215403217776,"refl","crit","qp","match","qp_match"
"78369",8,277,3,8,3403,1,"5",59,70,0,0,"rr",NA,"ive himself",11,NA,"refl","crit","qp","match","qp_match"
"78371",8,277,3,8,3403,1,"6",70,81,0,0,"ff",502," for secret",11,6.21860011969173,"refl","spillover","qp","match","qp_match"
"78378",8,277,3,8,3403,1,"6",70,81,0,0,"tt",963," for secret",11,6.87005341179813,"refl","spillover","qp","match","qp_match"
"78379",8,277,3,8,3403,1,"6",70,81,0,0,"rr",288," for secret",11,5.66296048013595,"refl","spillover","qp","match","qp_match"
"78381",8,277,3,8,3403,1,"7",81,89,0,0,"ff",NA," affairs",8,NA,"refl","prefinal","qp","match","qp_match"
"78388",8,277,3,8,3403,1,"7",81,89,0,0,"tt",249," affairs",8,5.51745289646471,"refl","prefinal","qp","match","qp_match"
"78389",8,277,3,8,3403,1,"7",81,89,0,0,"rr",249," affairs",8,5.51745289646471,"refl","prefinal","qp","match","qp_match"
"78391",8,277,3,8,3403,1,"8",89,102,0,0,"ff",156," in the town.",13,5.04985600724954,"refl","final","qp","match","qp_match"
"78398",8,277,3,8,3403,1,"8",89,102,0,0,"tt",643," in the town.",13,6.46614472423762,"refl","final","qp","match","qp_match"
"78399",8,277,3,8,3403,1,"8",89,102,0,0,"rr",NA," in the town.",13,NA,"refl","final","qp","match","qp_match"
"78401",8,33,4,5,4877,1,"1",0,17,0,0,"ff",266,"No royal princess",17,5.5834963087817,"refl","lure","qp","mismatch","qp_mismatch"
"78408",8,33,4,5,4877,1,"1",0,17,0,0,"tt",1865,"No royal princess",17,7.53101633207792,"refl","lure","qp","mismatch","qp_mismatch"
"78409",8,33,4,5,4877,1,"1",0,17,0,0,"rr",1425,"No royal princess",17,7.26192709270275,"refl","lure","qp","mismatch","qp_mismatch"
"78411",8,33,4,5,4877,1,"2",17,37,0,0,"ff",181," would tolerate that",20,5.19849703126583,"refl","matrix.pred","qp","mismatch","qp_mismatch"
"78418",8,33,4,5,4877,1,"2",17,37,0,0,"tt",2438," would tolerate that",20,7.79893331004122,"refl","matrix.pred","qp","mismatch","qp_mismatch"
"78419",8,33,4,5,4877,1,"2",17,37,0,0,"rr",1906," would tolerate that",20,7.55276208421415,"refl","matrix.pred","qp","mismatch","qp_mismatch"
"78421",8,33,4,5,4877,1,"3",37,50,0,0,"ff",272," palace maids",13,5.605802066296,"refl","target","qp","mismatch","qp_mismatch"
"78428",8,33,4,5,4877,1,"3",37,50,0,0,"tt",2640," palace maids",13,7.87853419614036,"refl","target","qp","mismatch","qp_mismatch"
"78429",8,33,4,5,4877,1,"3",37,50,0,0,"rr",2368," palace maids",13,7.7698009960039,"refl","target","qp","mismatch","qp_mismatch"
"78431",8,33,4,5,4877,1,"4",50,57,0,0,"ff",278," embarr",7,5.62762111369064,"refl","precrit","qp","mismatch","qp_mismatch"
"78438",8,33,4,5,4877,1,"4",50,57,0,0,"tt",771," embarr",7,6.64768837356333,"refl","precrit","qp","mismatch","qp_mismatch"
"78439",8,33,4,5,4877,1,"4",50,57,0,0,"rr",493," embarr",7,6.20050917404269,"refl","precrit","qp","mismatch","qp_mismatch"
"78441",8,33,4,5,4877,1,"5",57,68,0,0,"ff",579,"ass himself",11,6.361302477573,"refl","crit","qp","mismatch","qp_mismatch"
"78448",8,33,4,5,4877,1,"5",57,68,0,0,"tt",1341,"ass himself",11,7.20117088328168,"refl","crit","qp","mismatch","qp_mismatch"
"78449",8,33,4,5,4877,1,"5",57,68,0,0,"rr",544,"ass himself",11,6.29894924685594,"refl","crit","qp","mismatch","qp_mismatch"
"78451",8,33,4,5,4877,1,"6",68,88,0,0,"ff",170," during a ceremonial",20,5.13579843705026,"refl","spillover","qp","mismatch","qp_mismatch"
"78458",8,33,4,5,4877,1,"6",68,88,0,0,"tt",2127," during a ceremonial",20,7.66246781520024,"refl","spillover","qp","mismatch","qp_mismatch"
"78459",8,33,4,5,4877,1,"6",68,88,0,0,"rr",1743," during a ceremonial",20,7.46336304552002,"refl","spillover","qp","mismatch","qp_mismatch"
"78461",8,33,4,5,4877,1,"7",88,94,0,0,"ff",206," visit",6,5.32787616878958,"refl","prefinal","qp","mismatch","qp_mismatch"
"78468",8,33,4,5,4877,1,"7",88,94,0,0,"tt",206," visit",6,5.32787616878958,"refl","prefinal","qp","mismatch","qp_mismatch"
"78469",8,33,4,5,4877,1,"7",88,94,0,0,"rr",NA," visit",6,NA,"refl","prefinal","qp","mismatch","qp_mismatch"
"78471",8,33,4,5,4877,1,"8",94,119,0,0,"ff",209," of a foreign ambassador.",25,5.34233425196481,"refl","final","qp","mismatch","qp_mismatch"
"78478",8,33,4,5,4877,1,"8",94,119,0,0,"tt",2368," of a foreign ambassador.",25,7.7698009960039,"refl","final","qp","mismatch","qp_mismatch"
"78479",8,33,4,5,4877,1,"8",94,119,0,0,"rr",NA," of a foreign ambassador.",25,NA,"refl","final","qp","mismatch","qp_mismatch"
"78561",8,49,3,4,2527,1,"1",0,12,0,0,"ff",773,"No rock star",12,6.65027904858742,"refl","lure","qp","match","qp_match"
"78568",8,49,3,4,2527,1,"1",0,12,0,0,"tt",1526,"No rock star",12,7.3304052118444,"refl","lure","qp","match","qp_match"
"78569",8,49,3,4,2527,1,"1",0,12,0,0,"rr",447,"No rock star",12,6.10255859461357,"refl","lure","qp","match","qp_match"
"78571",8,49,3,4,2527,1,"2",12,28,0,0,"ff",213," would deny that",16,5.36129216570943,"refl","matrix.pred","qp","match","qp_match"
"78578",8,49,3,4,2527,1,"2",12,28,0,0,"tt",2405," would deny that",16,7.78530518253986,"refl","matrix.pred","qp","match","qp_match"
"78579",8,49,3,4,2527,1,"2",12,28,0,0,"rr",661," would deny that",16,6.49375383985169,"refl","matrix.pred","qp","match","qp_match"
"78581",8,49,3,4,2527,1,"3",28,45,0,0,"ff",779," excited groupies",17,6.65801104587075,"refl","target","qp","match","qp_match"
"78588",8,49,3,4,2527,1,"3",28,45,0,0,"tt",1892," excited groupies",17,7.54538974961182,"refl","target","qp","match","qp_match"
"78589",8,49,3,4,2527,1,"3",28,45,0,0,"rr",693," excited groupies",17,6.5410299991899,"refl","target","qp","match","qp_match"
"78591",8,49,3,4,2527,1,"4",45,50,0,0,"ff",NA," exha",5,NA,"refl","precrit","qp","match","qp_match"
"78598",8,49,3,4,2527,1,"4",45,50,0,0,"tt",425," exha",5,6.05208916892442,"refl","precrit","qp","match","qp_match"
"78599",8,49,3,4,2527,1,"4",45,50,0,0,"rr",425," exha",5,6.05208916892442,"refl","precrit","qp","match","qp_match"
"78681",8,49,3,4,2527,1,"5",50,61,0,0,"ff",327,"ust himself",11,5.78996017089725,"refl","crit","qp","match","qp_match"
"78688",8,49,3,4,2527,1,"5",50,61,0,0,"tt",827,"ust himself",11,6.71780469502369,"refl","crit","qp","match","qp_match"
"78689",8,49,3,4,2527,1,"5",50,61,0,0,"rr",500,"ust himself",11,6.21460809842219,"refl","crit","qp","match","qp_match"
"78691",8,49,3,4,2527,1,"6",61,73,0,0,"ff",280," after a big",12,5.63478960316925,"refl","spillover","qp","match","qp_match"
"78698",8,49,3,4,2527,1,"6",61,73,0,0,"tt",989," after a big",12,6.89669433162271,"refl","spillover","qp","match","qp_match"
"78699",8,49,3,4,2527,1,"6",61,73,0,0,"rr",258," after a big",12,5.55295958492162,"refl","spillover","qp","match","qp_match"
"78701",8,49,3,4,2527,1,"7",73,81,0,0,"ff",637," concert",8,6.45676965557216,"refl","prefinal","qp","match","qp_match"
"78708",8,49,3,4,2527,1,"7",73,81,0,0,"tt",839," concert",8,6.73221070646721,"refl","prefinal","qp","match","qp_match"
"78709",8,49,3,4,2527,1,"7",73,81,0,0,"rr",202," concert",8,5.30826769740121,"refl","prefinal","qp","match","qp_match"
"78711",8,49,3,4,2527,1,"8",81,114,0,0,"ff",319," by trying to get some attention.",33,5.76519110278484,"refl","final","qp","match","qp_match"
"78718",8,49,3,4,2527,1,"8",81,114,0,0,"tt",1922," by trying to get some attention.",33,7.56112158953024,"refl","final","qp","match","qp_match"
"78719",8,49,3,4,2527,1,"8",81,114,0,0,"rr",343," by trying to get some attention.",33,5.83773044716594,"refl","final","qp","match","qp_match"
"79341",8,124,2,11,2343,1,"1",0,19,0,0,"ff",193,"The nice bridesmaid",19,5.26269018890489,"refl","lure","np","mismatch","np_mismatch"
"79348",8,124,2,11,2343,1,"1",0,19,0,0,"tt",923,"The nice bridesmaid",19,6.82762923450285,"refl","lure","np","mismatch","np_mismatch"
"79349",8,124,2,11,2343,1,"1",0,19,0,0,"rr",373,"The nice bridesmaid",19,5.92157841964382,"refl","lure","np","mismatch","np_mismatch"
"79351",8,124,2,11,2343,1,"2",19,40,0,0,"ff",368," did not mention that",21,5.90808293816893,"refl","matrix.pred","np","mismatch","np_mismatch"
"79358",8,124,2,11,2343,1,"2",19,40,0,0,"tt",1944," did not mention that",21,7.57250298502038,"refl","matrix.pred","np","mismatch","np_mismatch"
"79359",8,124,2,11,2343,1,"2",19,40,0,0,"rr",285," did not mention that",21,5.65248918026865,"refl","matrix.pred","np","mismatch","np_mismatch"
"79361",8,124,2,11,2343,1,"3",40,57,0,0,"ff",259," the flower girls",17,5.55682806169954,"refl","target","np","mismatch","np_mismatch"
"79368",8,124,2,11,2343,1,"3",40,57,0,0,"tt",1495," the flower girls",17,7.30988148582479,"refl","target","np","mismatch","np_mismatch"
"79369",8,124,2,11,2343,1,"3",40,57,0,0,"rr",NA," the flower girls",17,NA,"refl","target","np","mismatch","np_mismatch"
"79371",8,124,2,11,2343,1,"4",57,60,0,0,"ff",225," up",3,5.41610040220442,"refl","precrit","np","mismatch","np_mismatch"
"79378",8,124,2,11,2343,1,"4",57,60,0,0,"tt",225," up",3,5.41610040220442,"refl","precrit","np","mismatch","np_mismatch"
"79379",8,124,2,11,2343,1,"4",57,60,0,0,"rr",NA," up",3,NA,"refl","precrit","np","mismatch","np_mismatch"
"79381",8,124,2,11,2343,1,"5",60,71,0,0,"ff",328,"set himself",11,5.79301360838414,"refl","crit","np","mismatch","np_mismatch"
"79388",8,124,2,11,2343,1,"5",60,71,0,0,"tt",673,"set himself",11,6.51174532964473,"refl","crit","np","mismatch","np_mismatch"
"79389",8,124,2,11,2343,1,"5",60,71,0,0,"rr",345,"set himself",11,5.84354441703136,"refl","crit","np","mismatch","np_mismatch"
"79391",8,124,2,11,2343,1,"6",71,89,0,0,"ff",315," during the solemn",18,5.75257263882563,"refl","spillover","np","mismatch","np_mismatch"
"79398",8,124,2,11,2343,1,"6",71,89,0,0,"tt",1475," during the solemn",18,7.29641326877392,"refl","spillover","np","mismatch","np_mismatch"
"79399",8,124,2,11,2343,1,"6",71,89,0,0,"rr",1160," during the solemn",18,7.05617528410041,"refl","spillover","np","mismatch","np_mismatch"
"79401",8,124,2,11,2343,1,"7",89,97,0,0,"ff",358," wedding",8,5.8805329864007,"refl","prefinal","np","mismatch","np_mismatch"
"79408",8,124,2,11,2343,1,"7",89,97,0,0,"tt",358," wedding",8,5.8805329864007,"refl","prefinal","np","mismatch","np_mismatch"
"79409",8,124,2,11,2343,1,"7",89,97,0,0,"rr",NA," wedding",8,NA,"refl","prefinal","np","mismatch","np_mismatch"
"79411",8,124,2,11,2343,1,"8",97,107,0,0,"ff",312," ceremony.",10,5.74300318780948,"refl","final","np","mismatch","np_mismatch"
"79418",8,124,2,11,2343,1,"8",97,107,0,0,"tt",312," ceremony.",10,5.74300318780948,"refl","final","np","mismatch","np_mismatch"
"79419",8,124,2,11,2343,1,"8",97,107,0,0,"rr",NA," ceremony.",10,NA,"refl","final","np","mismatch","np_mismatch"
"79421",8,233,3,12,5220,1,"1",0,24,0,0,"ff",235,"No respectable gentleman",24,5.45958551414416,"refl","lure","qp","match","qp_match"
"79428",8,233,3,12,5220,1,"1",0,24,0,0,"tt",1438,"No respectable gentleman",24,7.27100853828099,"refl","lure","qp","match","qp_match"
"79429",8,233,3,12,5220,1,"1",0,24,0,0,"rr",635,"No respectable gentleman",24,6.45362499889269,"refl","lure","qp","match","qp_match"
"79431",8,233,3,12,5220,1,"2",24,43,0,0,"ff",236," would mention that",19,5.46383180502561,"refl","matrix.pred","qp","match","qp_match"
"79438",8,233,3,12,5220,1,"2",24,43,0,0,"tt",1761," would mention that",19,7.47363710849621,"refl","matrix.pred","qp","match","qp_match"
"79439",8,233,3,12,5220,1,"2",24,43,0,0,"rr",211," would mention that",19,5.35185813347607,"refl","matrix.pred","qp","match","qp_match"
"79441",8,233,3,12,5220,1,"3",43,59,0,0,"ff",256," rude waitresses",16,5.54517744447956,"refl","target","qp","match","qp_match"
"79448",8,233,3,12,5220,1,"3",43,59,0,0,"tt",551," rude waitresses",16,6.31173480915291,"refl","target","qp","match","qp_match"
"79449",8,233,3,12,5220,1,"3",43,59,0,0,"rr",NA," rude waitresses",16,NA,"refl","target","qp","match","qp_match"
"79451",8,233,3,12,5220,1,"4",59,60,0,0,"ff",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79458",8,233,3,12,5220,1,"4",59,60,0,0,"tt",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79459",8,233,3,12,5220,1,"4",59,60,0,0,"rr",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79461",8,233,3,12,5220,1,"5",60,71,0,0,"ff",459,"put himself",11,6.12905021006055,"refl","crit","qp","match","qp_match"
"79468",8,233,3,12,5220,1,"5",60,71,0,0,"tt",822,"put himself",11,6.71174039505618,"refl","crit","qp","match","qp_match"
"79469",8,233,3,12,5220,1,"5",60,71,0,0,"rr",162,"put himself",11,5.08759633523238,"refl","crit","qp","match","qp_match"
"79471",8,233,3,12,5220,1,"6",71,82,0,0,"ff",260," in awkward",11,5.56068163101553,"refl","spillover","qp","match","qp_match"
"79478",8,233,3,12,5220,1,"6",71,82,0,0,"tt",743," in awkward",11,6.61069604471776,"refl","spillover","qp","match","qp_match"
"79479",8,233,3,12,5220,1,"6",71,82,0,0,"rr",483," in awkward",11,6.18001665365257,"refl","spillover","qp","match","qp_match"
"79481",8,233,3,12,5220,1,"7",82,93,0,0,"ff",374," situations",11,5.92425579741453,"refl","prefinal","qp","match","qp_match"
"79488",8,233,3,12,5220,1,"7",82,93,0,0,"tt",670," situations",11,6.50727771238501,"refl","prefinal","qp","match","qp_match"
"79489",8,233,3,12,5220,1,"7",82,93,0,0,"rr",208," situations",11,5.33753807970132,"refl","prefinal","qp","match","qp_match"
"79491",8,233,3,12,5220,1,"8",93,119,0,0,"ff",427," by arguing about the tip.",26,6.05678401322862,"refl","final","qp","match","qp_match"
"79498",8,233,3,12,5220,1,"8",93,119,0,0,"tt",1986," by arguing about the tip.",26,7.59387784460512,"refl","final","qp","match","qp_match"
"79499",8,233,3,12,5220,1,"8",93,119,0,0,"rr",NA," by arguing about the tip.",26,NA,"refl","final","qp","match","qp_match"
"79501",8,61,3,24,3058,0,"1",0,23,0,0,"ff",330,"No corrupt councilwoman",23,5.79909265446053,"refl","lure","qp","match","qp_match"
"79508",8,61,3,24,3058,0,"1",0,23,0,0,"tt",1201,"No corrupt councilwoman",23,7.09090982207998,"refl","lure","qp","match","qp_match"
"79509",8,61,3,24,3058,0,"1",0,23,0,0,"rr",NA,"No corrupt councilwoman",23,NA,"refl","lure","qp","match","qp_match"
"79511",8,61,3,24,3058,0,"2",23,42,0,0,"ff",637," would suggest that",19,6.45676965557216,"refl","matrix.pred","qp","match","qp_match"
"79518",8,61,3,24,3058,0,"2",23,42,0,0,"tt",1858," would suggest that",19,7.52725591937378,"refl","matrix.pred","qp","match","qp_match"
"79519",8,61,3,24,3058,0,"2",23,42,0,0,"rr",400," would suggest that",19,5.99146454710798,"refl","matrix.pred","qp","match","qp_match"
"79611",8,61,3,24,3058,0,"3",42,63,0,0,"ff",392," influential senators",21,5.97126183979046,"refl","target","qp","match","qp_match"
"79618",8,61,3,24,3058,0,"3",42,63,0,0,"tt",1735," influential senators",21,7.45876269238096,"refl","target","qp","match","qp_match"
"79619",8,61,3,24,3058,0,"3",42,63,0,0,"rr",691," influential senators",21,6.53813982376767,"refl","target","qp","match","qp_match"
"79621",8,61,3,24,3058,0,"4",63,64,0,0,"ff",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79628",8,61,3,24,3058,0,"4",63,64,0,0,"tt",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79629",8,61,3,24,3058,0,"4",63,64,0,0,"rr",NA," ",1,NA,"refl","precrit","qp","match","qp_match"
"79631",8,61,3,24,3058,0,"5",64,75,0,0,"ff",206,"put herself",11,5.32787616878958,"refl","crit","qp","match","qp_match"
"79638",8,61,3,24,3058,0,"5",64,75,0,0,"tt",1373,"put herself",11,7.22475340576797,"refl","crit","qp","match","qp_match"
"79639",8,61,3,24,3058,0,"5",64,75,0,0,"rr",953,"put herself",11,6.8596149036542,"refl","crit","qp","match","qp_match"
"79641",8,61,3,24,3058,0,"6",75,97,0,0,"ff",276," through an exhaustive",22,5.62040086571715,"refl","spillover","qp","match","qp_match"
"79648",8,61,3,24,3058,0,"6",75,97,0,0,"tt",1342," through an exhaustive",22,7.20191631753163,"refl","spillover","qp","match","qp_match"
"79649",8,61,3,24,3058,0,"6",75,97,0,0,"rr",509," through an exhaustive",22,6.23244801655052,"refl","spillover","qp","match","qp_match"
"79651",8,61,3,24,3058,0,"7",97,108,0,0,"ff",408," background",11,6.01126717440416,"refl","prefinal","qp","match","qp_match"
"79658",8,61,3,24,3058,0,"7",97,108,0,0,"tt",620," background",11,6.42971947803914,"refl","prefinal","qp","match","qp_match"
"79659",8,61,3,24,3058,0,"7",97,108,0,0,"rr",NA," background",11,NA,"refl","prefinal","qp","match","qp_match"
"79661",8,61,3,24,3058,0,"8",108,115,0,0,"ff",NA," check.",7,NA,"refl","final","qp","match","qp_match"
"79668",8,61,3,24,3058,0,"8",108,115,0,0,"tt",NA," check.",7,NA,"refl","final","qp","match","qp_match"
"79669",8,61,3,24,3058,0,"8",108,115,0,0,"rr",NA," check.",7,NA,"refl","final","qp","match","qp_match"
"79691",8,219,1,2,7398,0,"1",0,23,0,0,"ff",192,"The professional barber",23,5.25749537202778,"refl","lure","np","match","np_match"
"79698",8,219,1,2,7398,0,"1",0,23,0,0,"tt",1340,"The professional barber",23,7.20042489294496,"refl","lure","np","match","np_match"
"79699",8,219,1,2,7398,0,"1",0,23,0,0,"rr",NA,"The professional barber",23,NA,"refl","lure","np","match","np_match"
"79701",8,219,1,2,7398,0,"2",23,46,0,0,"ff",636," would never imply that",23,6.45519856334012,"refl","matrix.pred","np","match","np_match"
"79708",8,219,1,2,7398,0,"2",23,46,0,0,"tt",1266," would never imply that",23,7.14361760270412,"refl","matrix.pred","np","match","np_match"
"79709",8,219,1,2,7398,0,"2",23,46,0,0,"rr",249," would never imply that",23,5.51745289646471,"refl","matrix.pred","np","match","np_match"
"79711",8,219,1,2,7398,0,"3",46,66,0,0,"ff",443," the vain socialites",20,6.09356977004514,"refl","target","np","match","np_match"
"79718",8,219,1,2,7398,0,"3",46,66,0,0,"tt",1332," the vain socialites",20,7.19443685110033,"refl","target","np","match","np_match"
"79719",8,219,1,2,7398,0,"3",46,66,0,0,"rr",626," the vain socialites",20,6.4393503711001,"refl","target","np","match","np_match"
"79721",8,219,1,2,7398,0,"4",66,74,0,0,"ff",368," humilia",8,5.90808293816893,"refl","precrit","np","match","np_match"
"79728",8,219,1,2,7398,0,"4",66,74,0,0,"tt",368," humilia",8,5.90808293816893,"refl","precrit","np","match","np_match"
"79729",8,219,1,2,7398,0,"4",66,74,0,0,"rr",NA," humilia",8,NA,"refl","precrit","np","match","np_match"
"79731",8,219,1,2,7398,0,"5",74,85,0,0,"ff",361,"ted himself",11,5.88887795833288,"refl","crit","np","match","np_match"
"79738",8,219,1,2,7398,0,"5",74,85,0,0,"tt",361,"ted himself",11,5.88887795833288,"refl","crit","np","match","np_match"
"79739",8,219,1,2,7398,0,"5",74,85,0,0,"rr",NA,"ted himself",11,NA,"refl","crit","np","match","np_match"
"79741",8,219,1,2,7398,0,"6",85,102,0,0,"ff",317," during exclusive",17,5.75890177387728,"refl","spillover","np","match","np_match"
"79748",8,219,1,2,7398,0,"6",85,102,0,0,"tt",921," during exclusive",17,6.82546003625531,"refl","spillover","np","match","np_match"
"79749",8,219,1,2,7398,0,"6",85,102,0,0,"rr",NA," during exclusive",17,NA,"refl","spillover","np","match","np_match"
"79751",8,219,1,2,7398,0,"7",102,107,0,0,"ff",409," hair",5,6.0137151560428,"refl","prefinal","np","match","np_match"
"79758",8,219,1,2,7398,0,"7",102,107,0,0,"tt",409," hair",5,6.0137151560428,"refl","prefinal","np","match","np_match"
"79759",8,219,1,2,7398,0,"7",102,107,0,0,"rr",NA," hair",5,NA,"refl","prefinal","np","match","np_match"
"79761",8,219,1,2,7398,0,"8",107,121,0,0,"ff",529," appointments.",14,6.2709884318583,"refl","final","np","match","np_match"
"79768",8,219,1,2,7398,0,"8",107,121,0,0,"tt",529," appointments.",14,6.2709884318583,"refl","final","np","match","np_match"
"79769",8,219,1,2,7398,0,"8",107,121,0,0,"rr",NA," appointments.",14,NA,"refl","final","np","match","np_match"
"79851",8,100,3,20,3286,1,"1",0,18,0,0,"ff",166,"No court secretary",18,5.11198778835654,"refl","lure","qp","match","qp_match"
"79858",8,100,3,20,3286,1,"1",0,18,0,0,"tt",3661,"No court secretary",18,8.20549161312024,"refl","lure","qp","match","qp_match"
"79859",8,100,3,20,3286,1,"1",0,18,0,0,"rr",2056,"No court secretary",18,7.62851762657506,"refl","lure","qp","match","qp_match"
"79861",8,100,3,20,3286,1,"2",18,38,0,0,"ff",399," would tolerate that",20,5.98896141688986,"refl","matrix.pred","qp","match","qp_match"
"79868",8,100,3,20,3286,1,"2",18,38,0,0,"tt",3528," would tolerate that",20,8.16848641712668,"refl","matrix.pred","qp","match","qp_match"
"79869",8,100,3,20,3286,1,"2",18,38,0,0,"rr",2414," would tolerate that",20,7.78904040165748,"refl","matrix.pred","qp","match","qp_match"
